Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
16.57,2,0.2418746675643110046271735047,0.249828637360191,0.249828637360191,0.24216962408074,0.24216962408074,0.215098357655596,0.2236862192536173616117620075,0.1611198097487414616117620075,0.0625664095048759,7.766931520213559992008660095,88.77224174410667038197562169,87.92726424497880128438058958,1588395000
16.58,2,0.2418629621888846561165712113,0.249815550163888,0.249815550163888,0.242157904431075,0.242157904431075,0.215059400810956,0.2236468294038702736469526837,0.1610570073633912736469526837,0.062589822040479,7.7645666674875898887543053082,88.75976264706501445026552051,87.91747874945028347553074996,1589354000
16.59,2,0.2418512857986717885868861314,0.249802493618653,0.249802493618653,0.24214621380197,0.24214621380197,0.215020490151384,0.2236074867807632325636003587,0.1609942282224411325636003587,0.0626132585583221,7.7622036709315535406687010995,88.74727583593894257686967463,87.90768444278055853328362366,1590312000
16.60,2,0.2418396112044259724378534861,0.249789442211074,0.249789442211074,0.242134524971021,0.242134524971021,0.214981675091185,0.2235682398780945739672638515,0.1609315208196890739672638515,0.0626367190584055,7.7598439172365267145450950706,88.73479834826874209994378604,87.89789553422033467346165077,1591271000
16.61,2,0.2418279605348119190622496450,0.249776419148238,0.249776419148238,0.24212286009388,0.24212286009388,0.214942985352798,0.2235291192101129505369660159,0.1608689156693840505369660159,0.0626602035407289,7.7574882780173735573918488194,88.72234122004191305735742344,87.88812122895797461897861056,1592230000
16.62,2,0.2418163207615373576678348369,0.249763409887216,0.249763409887216,0.242111206126366,0.242111206126366,0.214904378245384,0.2234900816044429476669612837,0.1608063695991503476669612837,0.0626837120052926,7.7551355139227155120452327482,88.70988882987687721282462862,87.87834850151572632246028898,1593188000
16.63,2,0.2418046907612244978086627220,0.24975041353439,0.24975041353439,0.242099561943731,0.242099561943731,0.214865860407286,0.2234511336641992964029103099,0.1607438892121025964029103099,0.0627072444520967,7.7527858115639196973845400545,88.69744558914547337447571734,87.86858101463256322939848992,1594147000
16.64,2,0.2417930906790408876919048336,0.249737451614324,0.249737451614324,0.24208794771571,0.24208794771571,0.214827470283635,0.2234123145622876065157476206,0.1606815136811474065157476206,0.0627308008811402,7.750440290608134584375109539,88.68502195229431128549267753,87.85882752249751734911107642,1595105000
16.65,2,0.2417815023545961836529236958,0.24972450446704,0.24972450446704,0.242076345259765,0.242076345259765,0.214789165883501,0.2233735816472345090402938126,0.1606192003548099090402938126,0.0627543812924246,7.748097726626648643982280004,88.67260304369479300384499849,87.84907561299726092864782637,1596064000
16.66,2,0.2417699279020224472829948466,0.249711574311827,0.249711574311827,0.242064756692608,0.242064756692608,0.214750950107327,0.2233349378951695575553748176,0.1605569522092206575553748176,0.0627779856859489,7.745758202325431966956276247,88.66019258252231229785601305,87.83932836722495134579249682,1597023000
16.67,2,0.2417583732794456358110296157,0.249698665635337,0.249698665635337,0.24205318797963,0.24205318797963,0.21471278050544,0.2232963410388604955027725546,0.1604947269771473955027725546,0.0628016140617131,7.7434205042834843763484826684,88.64777679115079859948175316,87.82957427639142824849208498,1597981000
